City,Area,Building_Type,Energy_Consumption_Per_SqM,Water_Usage_Per_Building,Waste_Recycled_Percentage,Occupancy_Rate,Smart_Devices_Count,Maintenance_Resolution_Time,Number_of_Residents,Electricity_Bill
Bangalore,Jayanagar,Industrial,50,719.1759619,8.904558911,91.99265431,10,5.000817769,78,16978.80902
Bangalore,Hebbal,Commercial,167.3110054,200,56.42227587,83.98481229,6,12.18173766,135,15798.43981
Bangalore,Malleshwaram,Industrial,58.13249265,200,24.00555753,73.6223365,3,12.79820398,140,22421.49545
Bangalore,Hebbal,Residential,123.5511218,1066.253112,5.898001857,36.04771355,3,9.898466176,342,16522.64875
Bangalore,Malleshwaram,Commercial,169.8181987,200,24.22397384,73.02578755,12,5.269131625,253,12114.22581
Bangalore,Electronic City,Industrial,50,578.0369303,23.51125179,73.39956654,4,8.408952818,475,11500.32395
Bangalore,HSR Layout,Residential,50,203.3462828,35.97209961,83.75206917,8,12.74457934,176,13841.42517
Bangalore,Indiranagar,Commercial,50,200,34.03241827,73.8329253,2,6.789028809,421,12749.02498
Bangalore,BTM Layout,Institutional,50,613.8018005,56.25166933,88.36681113,9,5.763214856,459,19764.90748
Bangalore,Banashankari,Residential,127.7872295,200,20.97629404,42.60555489,2,8.434969874,420,17107.23591
Bangalore,Whitefield,Residential,147.8508729,216.9689607,7.694456356,98.68033137,2,12.92278867,60,13401.63446
Bangalore,Koramangala,Institutional,50,200,39.43123177,89.44544776,7,5.168417444,461,13591.98098
Bangalore,Whitefield,Institutional,53.61571195,269.6464028,17.76089519,97.0689158,12,8.537780306,352,18516.20864
Bangalore,Indiranagar,Industrial,50,200,15.17010698,72.58062955,2,9.098765478,254,20054.71054
Bangalore,Yelahanka,Residential,50,200,8.127069937,88.44400931,3,8.598965575,8,5782.991741
Bangalore,Indiranagar,Institutional,50,1046.147413,27.34937078,83.96579968,4,9.190289362,391,14143.93748
Bangalore,Yelahanka,Commercial,50,200,50.66751559,73.39708527,3,8.94671284,107,15457.45713
Bangalore,Malleshwaram,Residential,214.7340842,320.7772154,26.58911325,66.32110441,1,5.476771445,171,17740.6919
Bangalore,Hebbal,Industrial,50,200,23.26109826,70.99722939,1,5.933710186,58,15564.96217
Bangalore,Whitefield,Institutional,54.85896043,445.4675072,55.16587059,77.57594741,8,8.793973809,337,17035.99958
Bangalore,Malleshwaram,Residential,91.05652327,200,28.25750745,67.32351696,7,5.059682583,342,13815.2043
Bangalore,Malleshwaram,Residential,50,1050.183136,7.797739061,99.18329985,1,8.989464354,430,10970.69522
Bangalore,Hebbal,Institutional,250,200,16.58112937,87.56888108,2,9.404081412,290,18920.9755
Bangalore,Banashankari,Institutional,246.1507398,200,22.30271708,30.17342118,1,5.953973756,84,19079.52994
Bangalore,BTM Layout,Institutional,50,200,41.77110811,70.40668637,3,8.55103573,117,18259.16866
Bangalore,Jayanagar,Residential,51.57444588,200,65.92702778,79.71121043,1,7.899295988,200,19148.95407
Bangalore,BTM Layout,Institutional,50,220.0495036,17.97942366,73.80301171,4,6.059227099,22,10141.3622
Bangalore,Koramangala,Institutional,50,200,38.5438923,75.60990499,3,7.302732062,219,12462.82444
Bangalore,Yelahanka,Residential,50,529.6229652,16.51364097,51.68160304,4,17.28348654,226,20599.33315
Bangalore,Whitefield,Residential,70.53690532,200,34.04942838,84.51381947,4,7.036904248,405,16781.16561
Bangalore,Yelahanka,Industrial,52.38897246,200,19.94209401,84.57797142,9,8.927456308,271,15280.83628
Bangalore,BTM Layout,Commercial,50,288.029675,47.20108476,63.70117982,3,5.120691814,389,13740.53625
Bangalore,Jayanagar,Residential,50,368.0467821,14.53760901,87.83965937,7,5.273655022,102,21339.49398
Bangalore,Yelahanka,Commercial,179.1645713,200,48.35382002,75.52613544,11,5.286714821,145,6147.830487
Bangalore,Electronic City,Industrial,50,200,47.84351308,92.07253422,6,11.52111779,456,16470.36481
Bangalore,Whitefield,Industrial,50,200,20.21331474,48.05502414,8,6.545677971,147,14666.94322
Bangalore,Jayanagar,Institutional,50.42040821,399.9990362,71.12894118,98.00768924,8,5.899036382,261,8737.419039
Bangalore,Malleshwaram,Industrial,250,327.0187575,25.14542634,57.03837895,1,10.81778475,279,23083.20589
Bangalore,Indiranagar,Institutional,50,200,11.85661034,68.77077008,4,5.64062171,339,2000
Bangalore,Banashankari,Institutional,83.63662577,557.6977472,10.42557129,63.9177786,6,5.989319793,14,15606.27375
Bangalore,Koramangala,Residential,107.541572,491.4594964,15.98713873,63.62150513,4,7.067347062,266,17642.30946
Bangalore,Jayanagar,Residential,50,264.0993041,19.05967063,80.78319054,3,6.436315259,287,10124.69637
Bangalore,BTM Layout,Commercial,97.70616964,608.103188,46.44113042,27.72912404,1,8.410784417,141,16386.30147
Bangalore,Indiranagar,Institutional,50,200,29.7942001,91.92391979,2,6.473057089,383,13877.58923
Bangalore,BTM Layout,Institutional,75.03778108,200,24.17833872,86.04272225,4,6.810244872,406,19940.24657
Bangalore,Whitefield,Commercial,75.28783704,200,76.84995436,58.42922713,11,14.39277872,293,32568.38157
Bangalore,Yelahanka,Institutional,57.55389375,200,41.11403675,57.61430903,4,15.5358216,423,16692.96875
Bangalore,Jayanagar,Industrial,50,227.2542129,18.01315319,80.84441023,11,12.97136136,394,18020.2383
Bangalore,Yelahanka,Institutional,135.2733596,827.5143616,28.66003283,89.45738019,5,14.48532083,31,10124.22027
Bangalore,BTM Layout,Institutional,50,200,31.91688502,71.97179768,4,8.246033939,171,16073.99507
Bangalore,Hebbal,Institutional,50,200,0.908320794,66.83472376,3,9.139291506,355,13134.94174
Bangalore,HSR Layout,Residential,50,200,33.43889497,42.09152919,10,8.11964318,205,18894.05384
Bangalore,Indiranagar,Industrial,67.03338034,814.8625962,8.371253398,92.37372938,8,11.70771381,478,7869.803353
Bangalore,Electronic City,Institutional,84.88888007,200,43.67882486,80.26617619,2,8.059244199,482,9632.444766
Bangalore,Indiranagar,Industrial,50,212.3167511,3.689723952,84.84693708,4,5.400285942,420,20900.09656
Bangalore,BTM Layout,Industrial,53.82229384,200,34.51062791,61.39522218,12,12.38184627,291,16049.94097
Bangalore,BTM Layout,Industrial,50,200,30.27693751,67.85827732,7,11.10458919,111,21619.12306
Bangalore,Koramangala,Commercial,77.70932562,1294.425325,16.00611226,95.16370759,8,12.7208461,68,16818.72322
Bangalore,Hebbal,Institutional,50,1006.741292,35.1189087,92.15257281,3,5.729556441,183,17548.89565
Bangalore,Electronic City,Residential,88.06593957,200,13.78439466,59.68950607,8,6.114247834,373,13452.48309
Bangalore,Banashankari,Residential,50,909.7922396,15.82883465,76.81871323,5,6.239786546,196,14031.8632
Bangalore,Koramangala,Residential,207.0257863,305.7628841,29.37076866,70.43137217,2,7.667823326,126,19822.08729
Bangalore,Whitefield,Residential,50,607.3003701,35.77519823,82.16549365,10,5.490756906,175,14283.82229
Bangalore,Electronic City,Institutional,50,200,11.49036785,68.05903375,4,6.761557882,262,20917.67722
Bangalore,Jayanagar,Residential,50,217.4508206,18.87759284,52.1118369,6,5.69326243,375,14450.73181
Bangalore,HSR Layout,Industrial,193.9642798,201.3256499,42.75395598,97.33014516,4,6.079601967,412,9101.802828
Bangalore,Koramangala,Commercial,157.375028,329.7615711,10.84571385,75.31288803,13,10.04556678,286,8646.217725
Bangalore,HSR Layout,Residential,50,200,13.20926244,93.90757888,5,14.02635451,155,14141.31996
Bangalore,Hebbal,Industrial,80.90720543,200,29.62830298,59.71850526,1,5.077540018,69,19578.6991
Bangalore,Whitefield,Residential,127.4613054,200,35.04764235,93.72271635,5,8.206945694,108,11674.54026
Bangalore,Whitefield,Institutional,60.75992705,365.9095043,38.27218462,82.68173087,13,5.123172333,423,18658.93243
Bangalore,Banashankari,Industrial,56.57095576,200,25.82074131,75.59623552,5,5.301466972,35,15503.67623
Bangalore,Whitefield,Institutional,50,335.7355228,41.0835622,85.99993254,1,10.02336569,359,18031.04888
Bangalore,BTM Layout,Residential,50,1051.089117,34.71279734,68.88632174,7,10.58059199,44,13551.56414
Bangalore,Indiranagar,Industrial,170.6342419,200,36.84488391,95.03222285,6,12.51784357,143,15915.04975
Bangalore,Indiranagar,Industrial,173.0080821,334.9737252,28.29522503,86.76862797,4,7.389997983,211,19693.71588
Bangalore,Yelahanka,Industrial,75.20024396,200,19.08582876,69.62299891,1,14.24974827,478,14914.14281
Bangalore,Banashankari,Residential,50,607.8094867,5.703267471,79.06859156,9,5.627315307,486,12375.7261
Bangalore,BTM Layout,Commercial,50,200,29.83008343,80.58093194,4,6.005037281,416,5911.273063
Bangalore,Indiranagar,Commercial,97.08490723,353.9069629,7.775525425,77.04773988,6,5.493281776,488,17707.66248
Bangalore,Jayanagar,Institutional,170.5573012,546.2612585,17.97053624,97.6649838,2,12.03014309,285,11141.72703
Bangalore,BTM Layout,Commercial,163.5849427,868.0297162,6.42929845,95.0309526,5,5.904042937,447,12397.25441
Bangalore,Hebbal,Residential,113.5171644,344.8908705,39.84282864,96.77870696,7,5.579586878,6,9645.713522
Bangalore,Malleshwaram,Industrial,77.04830202,206.2537838,15.42737372,85.76943372,6,8.844014939,218,13849.57619
Bangalore,HSR Layout,Industrial,50,288.5804567,53.95144319,75.95311681,1,5.270989819,27,25487.71958
Bangalore,BTM Layout,Residential,50,609.5498728,29.66697132,52.51244357,4,5.154310215,227,16760.19555
Bangalore,HSR Layout,Industrial,171.6172875,253.6167276,51.97513306,66.18396789,3,5.383340167,284,11779.30921
Bangalore,Jayanagar,Commercial,69.93704602,200,7.959360175,81.14457305,11,5.000803076,389,12718.48304
Bangalore,Malleshwaram,Institutional,50,801.8716522,39.6664732,87.5787044,5,9.88839057,425,7806.35125
Bangalore,Yelahanka,Residential,50,350.8972608,24.77024117,71.795356,6,8.170019794,56,9346.94038
Bangalore,Yelahanka,Industrial,81.68717905,338.5792632,34.69396462,89.00349319,2,5.816865233,368,8552.416403
Bangalore,Electronic City,Residential,50,200,14.84833169,76.56090685,9,5.924522897,310,16351.66042
Bangalore,Banashankari,Commercial,50,322.6610981,27.41937024,74.97027051,3,12.42430035,336,17233.5595
Bangalore,BTM Layout,Industrial,59.67733846,200,37.45841008,60.41498953,5,7.614535721,105,15387.99235
Bangalore,Banashankari,Industrial,88.2986465,316.0053407,31.80749091,93.8507492,4,9.913669371,18,16849.20345
Bangalore,Whitefield,Industrial,79.15811116,200,36.57573842,71.42986967,6,7.225675151,205,11168.98455
Bangalore,HSR Layout,Industrial,50,321.7476955,32.44696815,82.2182319,10,5.946991563,43,9258.615828
Bangalore,HSR Layout,Residential,93.40629667,1500,44.59510677,58.64781054,6,27.32831935,89,9226.915878
Bangalore,Whitefield,Commercial,50,200,10.93710597,77.86088576,5,8.204417453,74,9005.369643
Bangalore,Electronic City,Commercial,50,1133.958934,22.97196153,55.82333496,4,5.479093771,157,16793.37353
Bangalore,Koramangala,Institutional,102.9268164,200,4.45350378,92.13768509,2,6.896698747,266,25068.49175
Bangalore,Hebbal,Residential,78.65803607,613.8100383,5.015787656,89.79820917,6,6.424362451,134,9763.6298
Bangalore,BTM Layout,Commercial,141.8967058,457.5090171,3.580357825,63.12937392,5,5.836156337,464,13290.27094
Bangalore,HSR Layout,Residential,80.38599661,251.1165318,15.95963611,62.44497744,5,19.67528659,89,16014.4669
Bangalore,Hebbal,Residential,63.00332292,402.3380358,24.38328139,92.39860044,5,15.32608415,236,13604.95989
Bangalore,HSR Layout,Commercial,50,632.3907303,22.13303199,86.50298884,8,5.768348082,132,16664.751
Bangalore,Koramangala,Institutional,50,200,29.97716428,53.58594484,4,6.556900493,229,12123.0456
Bangalore,Whitefield,Institutional,50,200,28.0660535,70.44487798,2,11.14357244,34,11598.32744
Bangalore,Yelahanka,Institutional,50,330.4188952,28.60820653,67.36431872,3,5.810624926,83,14088.29818
Bangalore,Koramangala,Industrial,250,494.8373529,18.05592159,87.28266487,1,8.478005657,417,16632.80715
Bangalore,HSR Layout,Commercial,50,431.0050106,6.320308324,98.58307319,8,9.934597281,132,21412.46019
Bangalore,Whitefield,Industrial,166.9541408,479.5696429,7.281899909,48.70521618,13,9.243926436,428,16883.17688
Bangalore,Koramangala,Industrial,74.80007893,200,17.27236676,85.54277967,5,10.0459256,354,13739.21575
Bangalore,Electronic City,Industrial,118.786894,510.8514319,61.25770239,73.21970208,5,10.05089905,204,19153.96962
Bangalore,Whitefield,Residential,52.38264933,200,18.40985307,75.85202744,6,25.51477184,287,20000.50449
Bangalore,BTM Layout,Residential,64.5116927,235.9006885,4.69582209,77.67255726,4,6.523503994,336,13483.26541
Bangalore,HSR Layout,Commercial,50.8720075,200,42.20447728,77.37076152,5,15.19524004,450,14270.23501
Bangalore,Jayanagar,Commercial,50,200,6.013776535,97.52737701,16,5.073765238,497,12864.48492
Bangalore,Yelahanka,Residential,96.13213523,200,5.502236332,67.61192645,12,6.199911943,442,19104.51653
Bangalore,Banashankari,Residential,50,200,31.10005962,90.89574764,1,5.167654313,316,15370.95285
Bangalore,HSR Layout,Industrial,50,356.6929506,36.30960954,46.19839895,1,9.206142001,258,7972.405344
Bangalore,BTM Layout,Institutional,77.77265897,200,43.32725763,55.30856883,6,5.360475396,292,17030.79415
Bangalore,Indiranagar,Institutional,50,200,13.19249822,85.15350136,3,13.64451674,454,22448.17642
Bangalore,Hebbal,Institutional,211.581236,200,8.858422254,61.14238651,4,9.144070478,125,22843.01053
Bangalore,Hebbal,Institutional,230.817181,200,48.2354817,76.79434542,5,5.097938881,444,12604.46452
Bangalore,Banashankari,Institutional,184.7632413,200,29.05868997,77.40999141,10,10.19166369,151,11516.95158
Bangalore,HSR Layout,Industrial,50,200,17.2025436,97.95134385,20,14.35279233,359,24489.34038
Bangalore,Banashankari,Commercial,50,277.4848786,47.186526,74.59411701,11,9.343389246,247,22833.51861
Bangalore,Malleshwaram,Residential,197.6642593,330.9784425,43.04296088,78.47338847,4,5.103868333,175,17336.51351
Bangalore,HSR Layout,Industrial,50,289.873119,14.02701318,88.93020209,6,14.16410568,372,6439.038199
Bangalore,Whitefield,Institutional,250,200,26.60719932,72.28275977,8,10.51931482,492,11968.39707
Bangalore,Whitefield,Residential,248.5301607,200,12.1871994,86.49163142,3,6.717679509,357,9532.206572
Bangalore,Yelahanka,Industrial,143.8040263,597.0638166,11.9261032,98.04382614,5,6.420349949,302,24061.78146
Bangalore,Malleshwaram,Institutional,50,219.6174164,15.04833251,62.31355153,3,7.434132769,80,7372.100374
Bangalore,Electronic City,Industrial,50,200,31.58644589,81.91301305,3,14.59567586,107,24018.24298
Bangalore,Malleshwaram,Residential,142.8544989,200,33.49595175,65.04184766,6,6.016516465,300,14472.37586
Bangalore,Malleshwaram,Commercial,50,200,7.689874867,36.12589435,4,5.361141595,403,9011.503246
Bangalore,Banashankari,Institutional,50,200,32.5062243,71.71084633,9,14.47598086,305,19933.99218
Bangalore,Koramangala,Residential,61.0302744,200,8.967986035,93.81464789,1,5.089200842,344,18147.47078
Bangalore,Yelahanka,Residential,206.3470103,260.3733165,38.63521628,83.42157671,9,17.39744546,58,8668.886678
Bangalore,Yelahanka,Commercial,89.31191983,228.8151313,48.43448903,49.5423231,1,6.293460445,91,14873.78471
